cod_est,FECHA,T_Med,Lluvia_acum
AL008,2020-08-17T00:00:00,23.32,0
AL008,2020-08-18T00:00:00,23.5633333333333,0
AL008,2020-08-19T00:00:00,22.8083333333333,0
AL008,2020-08-20T00:00:00,23.6708333333333,0
AL008,2020-08-21T00:00:00,27.0433333333333,0
AL008,2020-08-22T00:00:00,25.73125,0
AL008,2020-08-23T00:00:00,22.3929166666667,0
AL008,2020-08-24T00:00:00,22.4395833333333,0
AL008,2020-08-25T00:00:00,23.8754166666667,0
AL008,2020-08-26T00:00:00,24.2029166666667,0
AL008,2020-08-27T00:00:00,25.50375,0
AL008,2020-08-28T00:00:00,25.6054166666667,0
AL008,2020-08-29T00:00:00,21.08125,0
AL008,2020-08-30T00:00:00,16.4383333333333,0
AL008,2020-08-31T00:00:00,17.0420833333333,0
AL008,2020-09-01T00:00:00,17.2145833333333,0
AL008,2020-09-02T00:00:00,17.4104166666667,2
AL008,2020-09-03T00:00:00,16.7533333333333,0.2
AL008,2020-09-04T00:00:00,16.7230416666667,0.2
AL008,2020-09-05T00:00:00,18.2358333333333,0.1
AL008,2020-09-06T00:00:00,17.8583333333333,0.1
AL008,2020-09-07T00:00:00,19.9175,0
AL008,2020-09-08T00:00:00,16.1758333333333,0
AL008,2020-09-09T00:00:00,16.7204166666667,0
AL008,2020-09-10T00:00:00,18.0283333333333,0
AL008,2020-09-11T00:00:00,19.0491666666667,0
AL008,2020-09-12T00:00:00,19.8495833333333,0
AL008,2020-09-13T00:00:00,18.4904166666667,0
AL008,2020-09-14T00:00:00,19.7133333333333,0
AL008,2020-09-15T00:00:00,19.9,0.1
AL008,2020-09-16T00:00:00,19.4804166666667,0
AL008,2020-09-17T00:00:00,20.4479166666667,0.2
AL008,2020-09-18T00:00:00,16.1741666666667,17.5
AL008,2020-09-19T00:00:00,16.6145833333333,0.1
AL008,2020-09-20T00:00:00,17.3945833333333,0
AL008,2020-09-21T00:00:00,18.0345833333333,0
AL008,2020-09-22T00:00:00,19.2308333333333,0
AL008,2020-09-23T00:00:00,19.5716666666667,0
AL008,2020-09-24T00:00:00,19.7645833333333,0
AL008,2020-09-25T00:00:00,17.31,0
AL008,2020-09-26T00:00:00,15.2929166666667,0
AL008,2020-09-27T00:00:00,15.5625,0
AL008,2020-09-28T00:00:00,15.5741666666667,0
AL008,2020-09-29T00:00:00,15.6065416666667,0
AL008,2020-09-30T00:00:00,10.352,0.1
AL008,2020-10-01T00:00:00,18.7241666666667,0
AL008,2020-10-02T00:00:00,13.4029166666667,3
AL008,2020-10-03T00:00:00,8.88216666666667,0
AL008,2020-10-04T00:00:00,11.9057083333333,0
AL008,2020-10-05T00:00:00,13.0204166666667,0
AL008,2020-10-06T00:00:00,14.4270416666667,0
AL008,2020-10-07T00:00:00,16.9391666666667,0
AL008,2020-10-08T00:00:00,15.0184166666667,0
AL008,2020-10-09T00:00:00,15.94325,0.1
AL008,2020-10-10T00:00:00,16.18375,0
AL008,2020-10-11T00:00:00,13.6891666666667,0.3
AL008,2020-10-12T00:00:00,11.48875,0
AL008,2020-10-13T00:00:00,14.8270833333333,0
AL008,2020-10-14T00:00:00,13.78875,0
AL008,2020-10-15T00:00:00,10.8064583333333,0
AL008,2020-10-16T00:00:00,9.339875,0
AL008,2020-10-17T00:00:00,9.76741666666667,0
AL008,2020-10-18T00:00:00,10.1766666666667,0
AL008,2020-10-19T00:00:00,10.8373333333333,0
AL008,2020-10-20T00:00:00,15.3719583333333,0
AL008,2020-10-21T00:00:00,16.4608333333333,1.9
AL008,2020-10-22T00:00:00,12.30625,9.3
AL008,2020-10-23T00:00:00,11.37,0
AL008,2020-10-24T00:00:00,11.1172916666667,0.1
AL008,2020-10-25T00:00:00,11.7912083333333,0
AL008,2020-10-26T00:00:00,9.26141666666667,0.1
AL008,2020-10-27T00:00:00,8.53045833333333,0
AL008,2020-10-28T00:00:00,12.3024583333333,0
AL008,2020-10-29T00:00:00,12.124125,0
AL008,2020-10-30T00:00:00,12.2685,0.1
AL008,2020-10-31T00:00:00,13.9735416666667,0
AL008,2020-11-01T00:00:00,14.8825,0
AL008,2020-11-02T00:00:00,14.1571666666667,0
AL008,2020-11-03T00:00:00,12.9204166666667,0
AL008,2020-11-04T00:00:00,11.3579166666667,0
AL008,2020-11-05T00:00:00,11.1116666666667,20
AL008,2020-11-06T00:00:00,12.39125,0.1
AL008,2020-11-07T00:00:00,11.2192916666667,4.7
AL008,2020-11-08T00:00:00,9.163875,0.2
AL008,2020-11-09T00:00:00,10.32925,0.2
AL008,2020-11-10T00:00:00,10.7977916666667,0.1
AL008,2020-11-11T00:00:00,9.0215,0.3
AL008,2020-11-12T00:00:00,8.27583333333333,0.2
AL008,2020-11-13T00:00:00,11.4204583333333,0
AL008,2020-11-14T00:00:00,12.05625,1
AL008,2020-11-15T00:00:00,13.5745833333333,0.1
AL008,2020-11-16T00:00:00,15.0308333333333,0
AL008,2020-11-17T00:00:00,11.0345833333333,0.2
AL008,2020-11-18T00:00:00,12.8251666666667,0
AL008,2020-11-19T00:00:00,10.1938333333333,0.1
AL008,2020-11-20T00:00:00,10.2185,0
AL008,2020-11-21T00:00:00,8.10104166666667,0
AL008,2020-11-22T00:00:00,5.12358333333333,0.3
AL008,2020-11-23T00:00:00,4.84033333333333,0.2
AL008,2020-11-24T00:00:00,6.19775,0.3
AL008,2020-11-25T00:00:00,8.03641666666667,0
AL008,2020-11-26T00:00:00,8.35125,1.7
AL008,2020-11-27T00:00:00,6.60208333333333,48.7
AL008,2020-11-28T00:00:00,5.82120833333333,0
AL008,2020-11-29T00:00:00,7.04666666666667,0
AL008,2020-11-30T00:00:00,6.932,0.1
AL008,2020-12-01T00:00:00,7.14929166666667,0.2
AL008,2020-12-02T00:00:00,6.78079166666666,0
AL008,2020-12-03T00:00:00,4.33708333333333,0.1
AL008,2020-12-04T00:00:00,3.95191666666667,6.2
AL008,2020-12-05T00:00:00,0.319583333333333,0
AL008,2020-12-06T00:00:00,1.45341666666667,0.3
AL008,2020-12-07T00:00:00,5.13683333333333,0.6
AL008,2020-12-08T00:00:00,5.7355,5.1
AL008,2020-12-09T00:00:00,3.39479166666667,0
AL008,2020-12-10T00:00:00,7.31041666666667,0.9
AL008,2020-12-11T00:00:00,11.7683333333333,0
AL008,2020-12-12T00:00:00,10.8554166666667,0
AL008,2020-12-13T00:00:00,10.5617916666667,0
AL008,2020-12-14T00:00:00,9.81895833333333,0
AL008,2020-12-15T00:00:00,8.15958333333333,0
AL008,2020-12-16T00:00:00,5.86304166666667,0.2
AL008,2020-12-17T00:00:00,5.68358333333333,0.2
AL008,2020-12-18T00:00:00,5.72620833333333,0.3
AL008,2020-12-19T00:00:00,6.7025,0.6
AL008,2020-12-20T00:00:00,7.19929166666667,1.2
AL008,2020-12-21T00:00:00,7.20658333333333,0.2
AL008,2020-12-22T00:00:00,7.82445833333333,0
AL008,2020-12-23T00:00:00,8.65720833333333,0.2
AL008,2020-12-24T00:00:00,7.22791666666667,0
